product_name,image,quantity,price 
ACI Aroma Pure Basmati Rice,https://cdn.chaldal.net/_mpimage/aci-aroma-pure-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53400&q=low&v=1&m=400&w=200,1 kg,৳ 325
Shaad Chinigura Aromatic Rice,https://cdn.chaldal.net/_mpimage/shaad-chinigura-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D50149&q=low&v=1&m=400&w=200,1 kg,৳ 130
Khusboo Premium Miniket Rice,https://cdn.chaldal.net/_mpimage/khusboo-premium-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48079&q=low&v=1&m=400&w=200,5 kg,৳ 350
BPM Amon Rice,https://cdn.chaldal.net/_mpimage/bpm-amon-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52040&q=low&v=1&m=400&w=200,1 kg,৳ 90
Empire Basmati Rice,https://cdn.chaldal.net/_mpimage/empire-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D51779&q=low&v=1&m=400&w=200,1 kg,৳ 290
Ispahani Agomoni Banglamoti Rice,https://cdn.chaldal.net/_mpimage/ispahani-agomoni-banglamoti-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53015&q=best&v=1&m=400&w=200,5 kg,৳ 375
Ispahani Agomoni Chinigura Rice,https://cdn.chaldal.net/_mpimage/ispahani-agomoni-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53012&q=best&v=1&m=400&w=200,1 kg,৳ 135
ACI Nutrilife Low GI Rice,https://cdn.chaldal.net/_mpimage/aci-nutrilife-low-gi-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54595&q=low&v=1&m=400&w=200,1 kg,৳ 130
Purnava Low G.I. Rice,https://cdn.chaldal.net/_mpimage/purnava-low-gi-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52235&q=low&v=1&m=400&w=200,1 kg,৳ 120
Rupchanda Miniket Rice,https://cdn.chaldal.net/_mpimage/rupchanda-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52559&q=best&v=1&m=400&w=200,5 kg,৳ 370
Pusti Chinigura Rice,https://cdn.chaldal.net/_mpimage/pusti-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D57735&q=low&v=1&m=400&w=200,1 kg,৳ 135
